,Unnamed: 0,Region,Municipality,Construction Materials,Total Occupied Housing Units,Roof: Galvanized iron/aluminum,Roof: Tile/concrete/clay tile,Roof: Half galvanized iron and half concrete,Roof: Bamboo/cogon/ nipa/anahaw,Roof: Asbestos,Roof:Makeshift/ salvaged/ improvised materials,Roof:Trapal,Roof: Others,Roof: Not Reported,coordinates,Latitude,Longitude,Distance,Material Categories,Elevation
0,0,PHILIPPINES,,Total,22421193.0,18002286.0,541411.0,1085559.0,2636544.0,20713.0,72416.0,42309.0,13610.0,6345.0,,,,,Total,
1,1,PHILIPPINES,,Concrete/brick/stone,11035032.0,10338819.0,462249.0,147452.0,67507.0,12566.0,2111.0,1187.0,2568.0,573.0,,,,,Concrete,
2,2,PHILIPPINES,,Wood,3909408.0,2979913.0,33244.0,157591.0,705322.0,4884.0,13693.0,10865.0,3638.0,258.0,,,,,Wood,
3,3,PHILIPPINES,,Half concrete/brick/stone and half wood,3430114.0,2562328.0,41072.0,709311.0,109100.0,1849.0,4099.0,877.0,1357.0,121.0,,,,,Mixed,
4,4,PHILIPPINES,,Galvanized iron/aluminum,226647.0,186631.0,3647.0,14513.0,20616.0,63.0,380.0,719.0,73.0,5.0,,,,,Metal,
5,5,PHILIPPINES,,Bamboo/sawali/cogon/nipa,3543338.0,1761059.0,,50839.0,1706086.0,,10053.0,11291.0,3187.0,823.0,,,,,Traditional,
6,6,PHILIPPINES,,Asbestos,11767.0,10089.0,123.0,490.0,,1041.0,,,24.0,,,,,,Makeshift/none,
7,7,PHILIPPINES,,Glass,2517.0,1646.0,473.0,360.0,,33.0,,,5.0,,,,,,Mixed,
8,8,PHILIPPINES,,Makeshift/salvaged/improvised materials,116979.0,54413.0,,1807.0,16199.0,,40495.0,3823.0,240.0,2.0,,,,,Makeshift/none,
9,9,PHILIPPINES,,Trapal,40316.0,18471.0,,,7324.0,,1307.0,13103.0,110.0,1.0,,,,,Makeshift/none,
10,10,PHILIPPINES,,Others,18124.0,13026.0,36.0,127.0,2485.0,9.0,128.0,156.0,2157.0,,,,,,Others,
11,11,PHILIPPINES,,No walls,4796.0,2950.0,118.0,192.0,959.0,3.0,133.0,274.0,167.0,,,,,,Makeshift/none,
12,12,PHILIPPINES,,Not Reported,82155.0,72941.0,449.0,2877.0,946.0,265.0,17.0,14.0,84.0,4562.0,,,,,Not reported,
13,13,NATIONAL CAPITAL REGION,REGIONAL,Total,2968651.0,2522479.0,196380.0,223553.0,5880.0,2845.0,8938.0,6100.0,2105.0,371.0,,,,,Total,
14,14,NATIONAL CAPITAL REGION,REGIONAL,Concrete/brick/stone,1996376.0,1786599.0,173355.0,33435.0,190.0,1928.0,226.0,129.0,514.0,,,,,,Concrete,
15,15,NATIONAL CAPITAL REGION,REGIONAL,Wood,327593.0,279929.0,10444.0,28260.0,3704.0,485.0,2079.0,1685.0,1005.0,2.0,,,,,Wood,
16,16,NATIONAL CAPITAL REGION,REGIONAL,Half concrete/brick/stone and half wood,611058.0,437499.0,12005.0,159641.0,462.0,340.0,721.0,134.0,256.0,,,,,,Mixed,
17,17,NATIONAL CAPITAL REGION,REGIONAL,Galvanized iron/aluminum,13269.0,10929.0,457.0,1676.0,119.0,14.0,38.0,16.0,20.0,,,,,,Metal,
18,18,NATIONAL CAPITAL REGION,REGIONAL,Bamboo/sawali/cogon/nipa,2243.0,622.0,,55.0,1323.0,,63.0,179.0,1.0,,,,,,Traditional,
19,19,NATIONAL CAPITAL REGION,REGIONAL,Asbestos,541.0,459.0,5.0,13.0,,64.0,,,,,,,,,Makeshift/none,
20,20,NATIONAL CAPITAL REGION,REGIONAL,Glass,182.0,108.0,42.0,24.0,,8.0,,,,,,,,,Mixed,
21,21,NATIONAL CAPITAL REGION,REGIONAL,Makeshift/salvaged/improvised materials,8343.0,1901.0,,141.0,33.0,,5472.0,772.0,22.0,2.0,,,,,Makeshift/none,
22,22,NATIONAL CAPITAL REGION,REGIONAL,Trapal,3658.0,398.0,,,41.0,,241.0,2971.0,7.0,,,,,,Makeshift/none,
23,23,NATIONAL CAPITAL REGION,REGIONAL,Others,471.0,248.0,10.0,6.0,1.0,,7.0,24.0,175.0,,,,,,Others,
24,24,NATIONAL CAPITAL REGION,REGIONAL,No walls,445.0,106.0,6.0,1.0,,,76.0,177.0,79.0,,,,,,Makeshift/none,
25,25,NATIONAL CAPITAL REGION,REGIONAL,Not Reported,4472.0,3681.0,56.0,301.0,7.0,6.0,15.0,13.0,26.0,367.0,,,,,Not reported,
26,26,NATIONAL CAPITAL REGION,CITY OF MANILA,Total,409987.0,345286.0,24640.0,34415.0,97.0,146.0,1858.0,3084.0,453.0,8.0,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Total,7.0
27,27,NATIONAL CAPITAL REGION,CITY OF MANILA,Concrete/brick/stone,210893.0,186250.0,21164.0,3284.0,4.0,55.0,19.0,42.0,75.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Concrete,7.0
28,28,NATIONAL CAPITAL REGION,CITY OF MANILA,Wood,63024.0,55117.0,1168.0,5510.0,66.0,62.0,222.0,682.0,197.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Wood,7.0
29,29,NATIONAL CAPITAL REGION,CITY OF MANILA,Half concrete/brick/stone and half wood,129409.0,101680.0,2239.0,25298.0,4.0,26.0,34.0,60.0,68.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Mixed,7.0
30,30,NATIONAL CAPITAL REGION,CITY OF MANILA,Galvanized iron/aluminum,1343.0,1065.0,62.0,199.0,,,9.0,6.0,2.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Metal,7.0
31,31,NATIONAL CAPITAL REGION,CITY OF MANILA,Bamboo/sawali/cogon/nipa,197.0,61.0,,1.0,10.0,,16.0,108.0,1.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Traditional,7.0
32,32,NATIONAL CAPITAL REGION,CITY OF MANILA,Asbestos,355.0,355.0,,,,,,,,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Makeshift/none,7.0
33,33,NATIONAL CAPITAL REGION,CITY OF MANILA,Glass,25.0,25.0,,,,,,,,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Mixed,7.0
34,34,NATIONAL CAPITAL REGION,CITY OF MANILA,Makeshift/salvaged/improvised materials,2144.0,206.0,,20.0,3.0,,1391.0,512.0,12.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Makeshift/none,7.0
35,35,NATIONAL CAPITAL REGION,CITY OF MANILA,Trapal,1749.0,84.0,,,5.0,,101.0,1555.0,4.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Makeshift/none,7.0
36,36,NATIONAL CAPITAL REGION,CITY OF MANILA,Others,128.0,61.0,,,,,2.0,7.0,58.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Others,7.0
37,37,NATIONAL CAPITAL REGION,CITY OF MANILA,No walls,233.0,25.0,1.0,,,,63.0,108.0,36.0,,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Makeshift/none,7.0
38,38,NATIONAL CAPITAL REGION,CITY OF MANILA,Not Reported,487.0,357.0,6.0,103.0,5.0,3.0,1.0,4.0,,8.0,"[14.5906346, 120.9799964]",14.5906346,120.9799964,-2.0,Not reported,7.0
39,39,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Total,93319.0,81724.0,7284.0,3846.0,39.0,80.0,236.0,38.0,72.0,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Total,15.0
40,40,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Concrete/brick/stone,58117.0,50756.0,6622.0,695.0,5.0,20.0,6.0,,13.0,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Concrete,15.0
41,41,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Wood,11463.0,10487.0,290.0,477.0,15.0,51.0,83.0,10.0,50.0,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Wood,15.0
42,42,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Half concrete/brick/stone and half wood,22648.0,19573.0,358.0,2655.0,17.0,9.0,30.0,1.0,5.0,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Mixed,15.0
43,43,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Galvanized iron/aluminum,233.0,206.0,10.0,17.0,,,,,,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Metal,15.0
44,44,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Bamboo/sawali/cogon/nipa,2.0,,,,2.0,,,,,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Traditional,15.0
45,45,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Asbestos,21.0,21.0,,,,,,,,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Makeshift/none,15.0
46,46,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Glass,10.0,8.0,,2.0,,,,,,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Mixed,15.0
47,47,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Makeshift/salvaged/improvised materials,119.0,8.0,,,,,105.0,5.0,1.0,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Makeshift/none,15.0
48,48,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Trapal,34.0,2.0,,,,,12.0,20.0,,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Makeshift/none,15.0
49,49,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Others,21.0,16.0,3.0,,,,,2.0,,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Others,15.0
50,50,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,No walls,6.0,5.0,,,,,,,1.0,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Makeshift/none,15.0
51,51,NATIONAL CAPITAL REGION,CITY OF MANDALUYONG,Not Reported,645.0,642.0,1.0,,,,,,2.0,,"[14.5774392, 121.0338973]",14.5774392,121.0338973,-6.0,Not reported,15.0
52,52,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Total,95305.0,80597.0,4105.0,10185.0,62.0,95.0,228.0,9.0,24.0,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Total,13.0
53,53,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Concrete/brick/stone,71301.0,66886.0,3473.0,893.0,4.0,33.0,6.0,,6.0,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Concrete,13.0
54,54,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Wood,5647.0,4169.0,211.0,1145.0,30.0,33.0,47.0,3.0,9.0,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Wood,13.0
55,55,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Half concrete/brick/stone and half wood,17628.0,9346.0,349.0,7868.0,4.0,26.0,32.0,1.0,2.0,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Mixed,13.0
56,56,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Galvanized iron/aluminum,465.0,136.0,72.0,247.0,8.0,,2.0,,,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Metal,13.0
57,57,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Bamboo/sawali/cogon/nipa,23.0,3.0,,3.0,15.0,,2.0,,,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Traditional,13.0
58,58,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Asbestos,4.0,1.0,,,,3.0,,,,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Makeshift/none,13.0
59,59,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Glass,,,,,,,,,,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Mixed,13.0
60,60,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Makeshift/salvaged/improvised materials,166.0,17.0,,12.0,,,137.0,,,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Makeshift/none,13.0
61,61,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Trapal,10.0,2.0,,,1.0,,2.0,5.0,,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Makeshift/none,13.0
62,62,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Others,19.0,11.0,,2.0,,,,,6.0,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Others,13.0
63,63,NATIONAL CAPITAL REGION,CITY OF MARIKINA,No walls,5.0,4.0,,,,,,,1.0,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Makeshift/none,13.0
64,64,NATIONAL CAPITAL REGION,CITY OF MARIKINA,Not Reported,37.0,22.0,,15.0,,,,,,,"[14.6331084, 121.0993541]",14.6331084,121.0993541,-15.0,Not reported,13.0
65,65,NATIONAL CAPITAL REGION,CITY OF PASIG,Total,175280.0,149525.0,15344.0,9237.0,446.0,159.0,301.0,145.0,121.0,2.0,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Total,7.0
66,66,NATIONAL CAPITAL REGION,CITY OF PASIG,Concrete/brick/stone,131172.0,115232.0,14034.0,1749.0,11.0,103.0,6.0,7.0,30.0,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Concrete,7.0
67,67,NATIONAL CAPITAL REGION,CITY OF PASIG,Wood,16564.0,14185.0,529.0,1293.0,280.0,28.0,156.0,31.0,62.0,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Wood,7.0
68,68,NATIONAL CAPITAL REGION,CITY OF PASIG,Half concrete/brick/stone and half wood,26197.0,19231.0,745.0,6138.0,30.0,11.0,13.0,8.0,21.0,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Mixed,7.0
69,69,NATIONAL CAPITAL REGION,CITY OF PASIG,Galvanized iron/aluminum,785.0,697.0,33.0,39.0,2.0,12.0,,2.0,,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Metal,7.0
70,70,NATIONAL CAPITAL REGION,CITY OF PASIG,Bamboo/sawali/cogon/nipa,163.0,40.0,,,121.0,,,2.0,,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Traditional,7.0
71,71,NATIONAL CAPITAL REGION,CITY OF PASIG,Asbestos,9.0,4.0,,,,5.0,,,,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Makeshift/none,7.0
72,72,NATIONAL CAPITAL REGION,CITY OF PASIG,Glass,8.0,7.0,1.0,,,,,,,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Mixed,7.0
73,73,NATIONAL CAPITAL REGION,CITY OF PASIG,Makeshift/salvaged/improvised materials,175.0,43.0,,3.0,,,124.0,5.0,,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Makeshift/none,7.0
74,74,NATIONAL CAPITAL REGION,CITY OF PASIG,Trapal,111.0,16.0,,,2.0,,2.0,90.0,1.0,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Makeshift/none,7.0
75,75,NATIONAL CAPITAL REGION,CITY OF PASIG,Others,9.0,7.0,,,,,,,2.0,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Others,7.0
76,76,NATIONAL CAPITAL REGION,CITY OF PASIG,No walls,4.0,2.0,,,,,,,2.0,,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Makeshift/none,7.0
77,77,NATIONAL CAPITAL REGION,CITY OF PASIG,Not Reported,83.0,61.0,2.0,15.0,,,,,3.0,2.0,"[14.5605166, 121.0764343]",14.5605166,121.0764343,-11.0,Not reported,7.0
78,78,NATIONAL CAPITAL REGION,QUEZON CITY,Total,660249.0,585900.0,26414.0,43092.0,574.0,794.0,2146.0,695.0,319.0,315.0,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Total,49.0
79,79,NATIONAL CAPITAL REGION,QUEZON CITY,Concrete/brick/stone,449577.0,420300.0,22743.0,5648.0,37.0,647.0,76.0,21.0,105.0,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Concrete,49.0
80,80,NATIONAL CAPITAL REGION,QUEZON CITY,Wood,60343.0,52958.0,1946.0,4199.0,359.0,49.0,433.0,276.0,121.0,2.0,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Wood,49.0
81,81,NATIONAL CAPITAL REGION,QUEZON CITY,Half concrete/brick/stone and half wood,143187.0,108333.0,1655.0,32745.0,38.0,74.0,266.0,28.0,48.0,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Mixed,49.0
82,82,NATIONAL CAPITAL REGION,QUEZON CITY,Galvanized iron/aluminum,2742.0,2317.0,26.0,363.0,21.0,2.0,10.0,1.0,2.0,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Metal,49.0
83,83,NATIONAL CAPITAL REGION,QUEZON CITY,Bamboo/sawali/cogon/nipa,213.0,81.0,,8.0,110.0,,3.0,11.0,,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Traditional,49.0
84,84,NATIONAL CAPITAL REGION,QUEZON CITY,Asbestos,71.0,38.0,5.0,8.0,,20.0,,,,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Makeshift/none,49.0
85,85,NATIONAL CAPITAL REGION,QUEZON CITY,Glass,42.0,31.0,9.0,2.0,,,,,,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Mixed,49.0
86,86,NATIONAL CAPITAL REGION,QUEZON CITY,Makeshift/salvaged/improvised materials,1976.0,526.0,,39.0,6.0,,1302.0,99.0,4.0,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Makeshift/none,49.0
87,87,NATIONAL CAPITAL REGION,QUEZON CITY,Trapal,343.0,70.0,,,1.0,,37.0,234.0,1.0,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Makeshift/none,49.0
88,88,NATIONAL CAPITAL REGION,QUEZON CITY,Others,87.0,60.0,1.0,,,,3.0,3.0,20.0,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Others,49.0
89,89,NATIONAL CAPITAL REGION,QUEZON CITY,No walls,35.0,13.0,1.0,,,,5.0,14.0,2.0,,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Makeshift/none,49.0
90,90,NATIONAL CAPITAL REGION,QUEZON CITY,Not Reported,1633.0,1173.0,28.0,80.0,2.0,2.0,11.0,8.0,16.0,313.0,"[14.6508, 121.04821]",14.6508,121.04821,-11.0,Not reported,49.0
91,91,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Total,26768.0,23216.0,2131.0,1397.0,,,20.0,3.0,,1.0,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Total,20.0
92,92,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Concrete/brick/stone,16674.0,14542.0,1920.0,212.0,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Concrete,20.0
93,93,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Wood,2729.0,2349.0,106.0,274.0,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Wood,20.0
94,94,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Half concrete/brick/stone and half wood,6586.0,5590.0,103.0,893.0,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Mixed,20.0
95,95,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Galvanized iron/aluminum,46.0,26.0,2.0,18.0,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Metal,20.0
96,96,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Bamboo/sawali/cogon/nipa,,,,,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Traditional,20.0
97,97,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Asbestos,,,,,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Makeshift/none,20.0
98,98,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Glass,,,,,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Mixed,20.0
99,99,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Makeshift/salvaged/improvised materials,19.0,,,,,,19.0,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Makeshift/none,20.0
100,100,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Trapal,3.0,,,,,,1.0,2.0,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Makeshift/none,20.0
101,101,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Others,,,,,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Others,20.0
102,102,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,No walls,,,,,,,,,,,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Makeshift/none,20.0
103,103,NATIONAL CAPITAL REGION,CITY OF SAN JUAN,Not Reported,711.0,709.0,,,,,,1.0,,1.0,"[14.6044363, 121.0299469]",14.6044363,121.0299469,-7.0,Not reported,20.0
104,104,NATIONAL CAPITAL REGION,CALOOCAN CITY,Total,353357.0,300885.0,18750.0,31050.0,459.0,530.0,1077.0,299.0,306.0,1.0,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Total,12.0
105,105,NATIONAL CAPITAL REGION,CALOOCAN CITY,Concrete/brick/stone,268805.0,247460.0,15946.0,4703.0,22.0,502.0,71.0,13.0,88.0,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Concrete,12.0
106,106,NATIONAL CAPITAL REGION,CALOOCAN CITY,Wood,23826.0,18941.0,1213.0,2977.0,221.0,18.0,187.0,123.0,146.0,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Wood,12.0
107,107,NATIONAL CAPITAL REGION,CALOOCAN CITY,Half concrete/brick/stone and half wood,57542.0,32545.0,1526.0,23226.0,38.0,6.0,143.0,7.0,51.0,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Mixed,12.0
108,108,NATIONAL CAPITAL REGION,CALOOCAN CITY,Galvanized iron/aluminum,1590.0,1372.0,65.0,103.0,26.0,,8.0,2.0,14.0,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Metal,12.0
109,109,NATIONAL CAPITAL REGION,CALOOCAN CITY,Bamboo/sawali/cogon/nipa,292.0,120.0,,9.0,145.0,,1.0,17.0,,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Traditional,12.0
110,110,NATIONAL CAPITAL REGION,CALOOCAN CITY,Asbestos,15.0,11.0,,,,4.0,,,,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Makeshift/none,12.0
111,111,NATIONAL CAPITAL REGION,CALOOCAN CITY,Glass,1.0,1.0,,,,,,,,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Mixed,12.0
112,112,NATIONAL CAPITAL REGION,CALOOCAN CITY,Makeshift/salvaged/improvised materials,955.0,250.0,,20.0,3.0,,647.0,34.0,1.0,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Makeshift/none,12.0
113,113,NATIONAL CAPITAL REGION,CALOOCAN CITY,Trapal,188.0,61.0,,,4.0,,20.0,103.0,,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Makeshift/none,12.0
114,114,NATIONAL CAPITAL REGION,CALOOCAN CITY,Others,36.0,31.0,,,,,,,5.0,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Others,12.0
115,115,NATIONAL CAPITAL REGION,CALOOCAN CITY,No walls,8.0,7.0,,,,,,,1.0,,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Makeshift/none,12.0
116,116,NATIONAL CAPITAL REGION,CALOOCAN CITY,Not Reported,99.0,86.0,,12.0,,,,,,1.0,"[14.651348, 120.9724002]",14.651348,120.9724002,-3.0,Not reported,12.0
117,117,NATIONAL CAPITAL REGION,CITY OF MALABON,Total,81724.0,69764.0,3389.0,7342.0,557.0,56.0,456.0,128.0,32.0,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Total,6.0
118,118,NATIONAL CAPITAL REGION,CITY OF MALABON,Concrete/brick/stone,42482.0,39324.0,2617.0,479.0,6.0,29.0,5.0,4.0,18.0,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Concrete,6.0
119,119,NATIONAL CAPITAL REGION,CITY OF MALABON,Wood,16027.0,13528.0,369.0,1444.0,474.0,6.0,156.0,47.0,3.0,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Wood,6.0
120,120,NATIONAL CAPITAL REGION,CITY OF MALABON,Half concrete/brick/stone and half wood,21683.0,15926.0,395.0,5258.0,36.0,16.0,49.0,2.0,1.0,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Mixed,6.0
121,121,NATIONAL CAPITAL REGION,CITY OF MALABON,Galvanized iron/aluminum,889.0,760.0,4.0,113.0,8.0,,2.0,2.0,,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Metal,6.0
122,122,NATIONAL CAPITAL REGION,CITY OF MALABON,Bamboo/sawali/cogon/nipa,60.0,22.0,,2.0,31.0,,1.0,4.0,,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Traditional,6.0
123,123,NATIONAL CAPITAL REGION,CITY OF MALABON,Asbestos,8.0,3.0,,,,5.0,,,,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Makeshift/none,6.0
124,124,NATIONAL CAPITAL REGION,CITY OF MALABON,Glass,3.0,3.0,,,,,,,,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Mixed,6.0
125,125,NATIONAL CAPITAL REGION,CITY OF MALABON,Makeshift/salvaged/improvised materials,375.0,91.0,,32.0,2.0,,237.0,10.0,3.0,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Makeshift/none,6.0
126,126,NATIONAL CAPITAL REGION,CITY OF MALABON,Trapal,115.0,50.0,,,,,6.0,59.0,,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Makeshift/none,6.0
127,127,NATIONAL CAPITAL REGION,CITY OF MALABON,Others,19.0,8.0,4.0,,,,,,7.0,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Others,6.0
128,128,NATIONAL CAPITAL REGION,CITY OF MALABON,No walls,2.0,2.0,,,,,,,,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Makeshift/none,6.0
129,129,NATIONAL CAPITAL REGION,CITY OF MALABON,Not Reported,61.0,47.0,,14.0,,,,,,,"[14.6578504, 120.9511261]",14.6578504,120.9511261,-1.0,Not reported,6.0
130,130,NATIONAL CAPITAL REGION,CITY OF NAVOTAS,Total,56260.0,49299.0,2563.0,3595.0,288.0,24.0,148.0,316.0,27.0,,"[14.6571862, 120.9479692]",14.6571862,120.9479692,-1.0,Total,6.0
131,131,NATIONAL CAPITAL REGION,CITY OF NAVOTAS,Concrete/brick/stone,31709.0,28556.0,2342.0,798.0,3.0,2.0,3.0,2.0,3.0,,"[14.6571862, 120.9479692]",14.6571862,120.9479692,-1.0,Concrete,6.0
132,132,NATIONAL CAPITAL REGION,CITY OF NAVOTAS,Wood,13101.0,12218.0,82.0,421.0,211.0,18.0,24.0,117.0,10.0,,"[14.6571862, 120.9479692]",14.6571862,120.9479692,-1.0,Wood,6.0
